CAN2011932,/en-ca/properties/mixed-use-redevelopment-opportunity-in-ville-marie/can-1662-de-maisonneuve-w-montréal-quebec-canada/can2011932,mixed-use-redevelopment-opportunity-in-ville-marie,['Chimene Constance'],"1662 de Maisonneuve W, Montréal, Quebec, Canada",zachary.kramer@colliers.com
CAN2012191,/en-ca/properties/freestanding-industrial-building-located-in-laval/can-1003-1005a-berlier-street-laval-quebec-canada/can2012191,freestanding-industrial-building-located-in-laval,"['Etienne Marcoux', 'Steve Garneau']","1003-1005A Berlier Street, Laval, Quebec, Canada",julie.beauvais@colliers.com
CAN2011604,/en-ca/properties/prestigious-building-with-strategic-location/can-3090-le-carrefour-boulevard-laval-quebec-canada/can2011604,prestigious-building-with-strategic-location,"['Francois Laurence', 'Andre Plourde', 'Julie Cote', 'Thomas Coutu', 'Julien Methot', 'Patrick Vallieres']","3090 Le Carrefour Boulevard, Laval, Quebec, Canada",nancy.gallina@colliers.com
CAN2002422,/en-ca/properties/prestigious-building/can-375-roland-therrien-boulevard-longueuil-quebec-canada/can2002422,prestigious-building,"['Francois Laurence', 'Julie Cote', 'Julien Methot', 'Andre Plourde', 'Patrick Vallieres', 'Thomas Coutu']","375 Roland-Therrien boulevard, Longueuil, Quebec, Canada",magali.bannier@colliers.com
CAN2012135,/en-ca/properties/detached-industrial-building-located-only-10-minutes-from-the-montréal-trudeau-international-airport/can-7400-vérité-street-saint-laurent-quebec-canada/can2012135,detached-industrial-building-located-only-10-minutes-from-the-montréal-trudeau-international-airport,"['Steve Garneau', 'Etienne Marcoux']","7400 Vérité Street, Saint-Laurent, Quebec, Canada",julie.beauvais@colliers.com
CAN2012162,/en-ca/properties/flex-industrial-space-available-in-prime-south-shore-industrial-business-park-in-brossard-qc/can-4105-boul-matte-brossard-quebec-canada/can2012162,flex-industrial-space-available-in-prime-south-shore-industrial-business-park-in-brossard-qc,['Simon Landry'],"4105, boul. Matte, Brossard, Quebec, Canada",donna.chu@colliers.com
CAN2011962,/en-ca/properties/commercial-industrial-property-for-sale/can-1800-1830-chomedey-boulevard-laval-quebec-canada/can2011962,commercial-industrial-property-for-sale,['Joe Rullier'],"1800-1830 Chomedey Boulevard, Laval, Quebec, Canada",martin.fillion@colliers.com
CAN2011832,/en-ca/properties/industrial-space-for-lease-in-saint-laurent/can-295-341-benjamin-hudon-saint-laurent-quebec-canada/can2011832,industrial-space-for-lease-in-saint-laurent,"['Vincent Iadeluca', 'Nicholas Payette']","295-341 Benjamin-Hudon, Saint-Laurent, Quebec, Canada",eryka.leblond@colliers.com
CAN2012116,/en-ca/properties/the-office-of-tomorrow-today/can-2000-mansfield-street-montreal-quebec-canada/can2012116,the-office-of-tomorrow-today,"['Andre Plourde', 'Francois Laurence', 'Thomas Coutu', 'Patrick Vallieres', 'Julien Methot', 'Julie Cote']","2000 Mansfield Street, Montreal, Quebec, Canada",magali.bannier@colliers.com
CAN2012168,/en-ca/properties/prestigious-building-place-laval/can-2-place-laval-laval-quebec-canada/can2012168,prestigious-building-place-laval,"['Francois Laurence', 'Andre Plourde', 'Julie Cote', 'Thomas Coutu', 'Julien Methot', 'Patrick Vallieres']","2 Place Laval, Laval, Quebec, Canada",nancy.gallina@colliers.com
CAN2012170,/en-ca/properties/prestigious-building-place-laval/can-4-place-laval-laval-quebec-canada/can2012170,prestigious-building-place-laval,"['Francois Laurence', 'Andre Plourde', 'Julie Cote', 'Thomas Coutu', 'Julien Methot', 'Patrick Vallieres']","4 Place Laval, Laval, Quebec, Canada",nancy.gallina@colliers.com
CAN2012140,/en-ca/properties/industrial-flex-condo-with-easy-access-from-highway-640/can-505-fernand-poitras-street-suite-105-terrebonne-quebec-canada/can2012140,industrial-flex-condo-with-easy-access-from-highway-640,"['MarcAndre Bonicel', 'Etienne Marcoux']","505 Fernand-Poitras Street, suite 105, Terrebonne, Quebec, Canada",julie.beauvais@colliers.com
CAN2003941,/en-ca/properties/class-a-office-building/can-1130-sherbrooke-ouest-montreal-quebec-canada/can2003941,class-a-office-building,"['Andre Plourde', 'Francois Laurence', 'Julien Methot', 'Patrick Vallieres', 'Julie Cote', 'Thomas Coutu']","1130 Sherbrooke Ouest, Montreal, Quebec, Canada",magali.bannier@colliers.com
