address1,address2,link,price
257 Rue Corot,"Montréal (Verdun/Île- ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-verdunile-des-soeurs/257-rue-corot/19600681/mls9211852/,"3,850,000"
4242 Av. Old Orchard,"Montréal (Côte-Des-Ne ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-cote-des-neigesnotre-dame-de-grace/4242-av-old-orchard/19596903/mls20318568/,"2,249,000"
1804-100 Av. Des Sommets,"Montréal (Verdun/Île- ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-verdunile-des-soeurs/1804-100-av-des-sommets/19596917/mls27821879/,"989,000"
13209 Boul. Cavendish,"Montréal (Saint-Laure ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-saint-laurent/13209-boul-cavendish/19600059/mls22248925/,"950,000"
403-1420 Rue Sherbrooke O.,"Montréal (Ville-Marie ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/403-1420-rue-sherbrooke-o/19597074/mls21446031/,"819,000"
105-1500 Rue Todd,"Montréal (Saint-Laure ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-saint-laurent/105-1500-rue-todd/19597025/mls24129437/,"529,000"
2673b Av. Letourneux,"Montréal (Mercier/Hoc ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-mercierhochelaga-maisonneuve/2673b-av-letourneux/19599116/mls12882618/,"429,000"
4-7573 Rue De Bordeaux,"Montréal (Villeray/Sa ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-villeraysaint-michelparc-extension/4-7573-rue-de-bordeaux/19597079/mls17202938/,"249,900"
3488 Av. Harvard,"Montréal (Côte-Des-Ne ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-cote-des-neigesnotre-dame-de-grace/3488-av-harvard/19592480/mls11772055/,"1,895,000"
3886 - 3888 Rue De Bellechasse,"Montréal (Rosemont/La ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-rosemontla-petite-patrie/3886-3888-rue-de-bellechasse/19595673/mls26895208/,"1,250,000"
5463 - 5465 Av. Earnscliffe,"Montréal (Côte-Des-Ne ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-cote-des-neigesnotre-dame-de-grace/5463-5465-av-earnscliffe/19586884/mls25035913/,"1,195,000"
Ph3-01-101 Rue De La Rotonde,"Montréal (Verdun/Île- ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-verdunile-des-soeurs/ph3-01-101-rue-de-la-rotonde/19592483/mls27381458/,"998,000"
104-433 Rue Notre-Dame E.,"Montréal (Ville-Marie ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/104-433-rue-notre-dame-e/19587091/mls19667650/,"879,000"
202 Boul. St-Joseph E.,"Montréal (Le Plateau- ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-le-plateau-mont-royal/202-boul-st-joseph-e/19588833/mls20046987/,"830,000"
161 Rue Beauchemin,"Montréal (L'Île-Bizar ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-lile-bizardsainte-genevieve/161-rue-beauchemin/19587123/mls16725408/,"828,000"
6960 Rue Hamilton,"Montréal (Le Sud-Oues ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-le-sud-ouest/6960-rue-hamilton/19594520/mls26590132/,"699,999"
8990 Boul. Des Galeries-D'Anjou,"Montréal (Anjou), QC",https://www.royallepage.ca/en/property/quebec/montreal-anjou/8990-boul-des-galeries-danjou/19591516/mls14803134/,"694,000"
1709-1155 Rue De La Montagne,"Montréal (Ville-Marie ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/1709-1155-rue-de-la-montagne/19589652/mls23513632/,"468,000"
301-3300 Boul. Cavendish,"Montréal (Côte-Des-Ne ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-cote-des-neigesnotre-dame-de-grace/301-3300-boul-cavendish/19589618/mls12610018/,"449,000"
305-2075 Av. De L'Église,"Montréal (Le Sud-Oues ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-le-sud-ouest/305-2075-av-de-leglise/19592470/mls9278331/,"379,000"
205-7400 Rue Cléophée-Têtu,"Montréal (Mercier/Hoc ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-mercierhochelaga-maisonneuve/205-7400-rue-cleophee-tetu/19591697/mls24979303/,"325,000"
106-1020 Rue Melatti,"Montréal (Lasalle), QC",https://www.royallepage.ca/en/property/quebec/montreal-lasalle/106-1020-rue-melatti/19593609/mls21004638/,"299,000"
1413 Rue St-Marc,"Montréal (Ville-Marie ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/1413-rue-st-marc/19591518/mls20971500/,"109,000"
5201 Rue Clark,"Montréal (Le Plateau- ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-le-plateau-mont-royal/5201-rue-clark/19591695/mls23993877/,"99,000"
C405-2175 Rue St-Patrick,"Montréal (Le Sud-Oues ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-le-sud-ouest/c405-2175-rue-st-patrick/19586154/mls28377835/,"1,598,000"
351 Boul. Gouin O.,"Montréal (Ahuntsic-Ca ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-ahuntsic-cartierville/351-boul-gouin-o/19585702/mls11407689/,"1,399,000"
4252 Rue Braille,"Montréal (Côte-Des-Ne ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-cote-des-neigesnotre-dame-de-grace/4252-rue-braille/19586537/mls18279426/,"849,000"
12705 41e Avenue (R.-D.-P.),"Montréal (Rivière-Des ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-riviere-des-prairiespointe-aux-trembles/12705-41e-avenue-r-d-p/19585799/mls24611523/,"849,000"
507-628 Rue St-Jacques,"Montréal (Ville-Marie ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/507-628-rue-st-jacques/19586111/mls22577734/,"480,000"
2207-1239 Rue Drummond,"Montréal (Ville-Marie ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/2207-1239-rue-drummond/19586393/mls9999148/,"469,000"
341 Rue De Normandie,"Montréal (Rivière-Des ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-riviere-des-prairiespointe-aux-trembles/341-rue-de-normandie/19586110/mls11339756/,"459,000"
401-175 Rue William-Paul,"Montréal (Verdun/Île- ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-verdunile-des-soeurs/401-175-rue-william-paul/19586157/mls11042960/,"439,000"
7635 Rue St-Roch,"Montréal (Villeray/Sa ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-villeraysaint-michelparc-extension/7635-rue-st-roch/19583932/mls14546901/,"1,350,000"
1271 - 1273 Rue Hébert,"Montréal (Lasalle), QC",https://www.royallepage.ca/en/property/quebec/montreal-lasalle/1271-1273-rue-hebert/19585316/mls12029602/,"795,000"
7489 Av. Stuart,"Montréal (Villeray/Sa ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-villeraysaint-michelparc-extension/7489-av-stuart/19583931/mls11935292/,"719,900"
103-1486 Rue Beaudry,"Montréal (Ville-Marie ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/103-1486-rue-beaudry/19584351/mls24274109/,"559,000"
239 6e Avenue,"Montréal (Lasalle), QC",https://www.royallepage.ca/en/property/quebec/montreal-lasalle/239-6e-avenue/19584221/mls15366100/,"445,000"
365 Rue Gilford,"Montréal (Le Plateau- ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-le-plateau-mont-royal/365-rue-gilford/19583887/mls21060370/,"435,000"
102-4520 Rue Edward-Higgins,"Montréal (Pierrefonds ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-pierrefonds-roxboro/102-4520-rue-edward-higgins/19583935/mls13972764/,"399,000"
1513 - 1517 Boul. Alexis-Nihon,"Montréal (Saint-Laure ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-saint-laurent/1513-1517-boul-alexis-nihon/19578856/mls11589844/,"2,250,000"
2300 Ch. De Bedford,"Montréal (Côte-Des-Ne ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-cote-des-neigesnotre-dame-de-grace/2300-ch-de-bedford/19575911/mls19832323/,"1,350,000"
4579 Av. De Hampton,"Montréal (Côte-Des-Ne ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-cote-des-neigesnotre-dame-de-grace/4579-av-de-hampton/19579537/mls19247125/,"849,000"
1907-1188 Rue St-Antoine O.,"Montréal (Ville-Marie ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/1907-1188-rue-st-antoine-o/19576376/mls26406150/,"740,000"
6654 - 6656 21e Avenue,"Montréal (Rosemont/La ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-rosemontla-petite-patrie/6654-6656-21e-avenue/19576377/mls13910223/,"729,000"
7048 Av. Christophe-Colomb,"Montréal (Rosemont/La ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-rosemontla-petite-patrie/7048-av-christophe-colomb/19582010/mls17412367/,"689,000"
1-1060 Rue Ste-Élisabeth,"Montréal (Ville-Marie ..., QC",https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/1-1060-rue-ste-elisabeth/19579319/mls21496495/,"479,000"
4773  - 4775 Rue De Charleroi ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-montreal-nord/4773-4775-rue-de-charleroi/19581378/mls10566781/,"
    
        
            
                "
1-4530 Rue St-Dominique ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-le-plateau-mont-royal/1-4530-rue-st-dominique/19577140/mls20692138/,"
    
        
            
                "
559 Rue Paul-Pau ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-mercierhochelaga-maisonneuve/559-rue-paul-pau/19583002/mls23494630/,"
    
        
            
                "
6836 Rue Marie-Guyart ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-lasalle/6836-rue-marie-guyart/19582012/mls22463563/,"
    
        
            
                "
5-9267 Boul. Lasalle ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-lasalle/5-9267-boul-lasalle/19583001/mls20090962/,"
    
        
            
                "
5145 Av. Du Parc ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-le-plateau-mont-royal/5145-av-du-parc/19576617/mls12491056/,"
    
        
            
                "
102-7077 Av. Du Parc ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-villeraysaint-michelparc-extension/102-7077-av-du-parc/19576611/mls27609395/,"
    
        
            
                "
1890 Rue St-Zotique E. ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-rosemontla-petite-patrie/1890-rue-st-zotique-e/19576614/mls17603467/,"
    
        
            
                "
7401 Av. Papineau ,"
                                                ",https://www.royallepage.ca/en/property/quebec/montreal-villeraysaint-michelparc-extension/7401-av-papineau/19576613/mls28640001/,"
    
        
            
                "
