address1,address2,link,price
307 Av. Carlyle,"Mont-Royal, QC",/ListingDetails/307-Av-Carlyle-Mont-Royal-QC-H3R1T3/19547888,"$16,500,000"
1290Z Av. des Pins O.,"Ville-Marie (Montréal), QC",/ListingDetails/1290Z-Av-des-Pins-O-Montréal-(Ville-Marie)-QC-H3G1A8/11056085,"$7,500,000"
1111 Av. Atwater #3304,"Westmount, QC",/ListingDetails/1111-Av-Atwater-3304-Westmount-QC-H3Z1X2/14861831,"$5,258,205"
1575 Rue du Sommet-Trinité,"Saint-Bruno-de-Montarville, QC",/ListingDetails/1575-Rue-du-Sommet-Trinité-Saint-Bruno-de-Montarville-QC-J3V6E4/22916792,"$2,985,000"
355 Av. Olivier,"Westmount, QC",/ListingDetails/355-Av-Olivier-Westmount-QC-H3Z2C8/20554234,"$3,850,000"
3434 Rue Ste-Famille,"Montréal (Le Plateau-Mont-Royal), QC",/ListingDetails/3434-Rue-Ste-Famille-Montréal-(Le-Plateau-Mont-Royal)-QC-H2X2K8/22407422,"$2,799,995"
454 Rue De La Gauchetière O. #PH1,"Montréal (Ville-Marie), QC",/ListingDetails/454-Rue-De-La-Gauchetière-O-PH1-Montréal-(Ville-Marie)-QC-H2Z1E3/28626335,"$3,195,000"
158B Rg St-Ours,"Saint-Césaire, QC",/ListingDetails/158B-Rg-St-Ours-Saint-Césaire-QC-J0L1T0/11992529,"$4,300,000"
800 Rue du Château,"Mont-Saint-Hilaire, QC",/ListingDetails/800-Rue-du-Château-Mont-Saint-Hilaire-QC-J3H1N4/19786091,"$2,595,000"
428 Rue Ste-Thérèse,"Saint-Jean-sur-Richelieu, QC",/ListingDetails/428-Rue-Ste-Thérèse-Saint-Jean-sur-Richelieu-QC-J2W2C9/24843653,"$2,198,000"
745 Rue Deslandes,"Saint-Denis-de-Brompton, QC",/ListingDetails/745-Rue-Deslandes-Saint-Denis-de-Brompton-QC-J0B2P0/23305281,"$1,985,000"
